row,start,end,start_s,end_s,on_screen,narration
1a,0:01.50,0:13.98,1.50,13.98,/ Dashboard already loaded. Cursor still on the four stat cards.,This is AdWatch. Every paid-search team does the same weekly ritual. Open competitors' Google Ads Transparency pages. Search your keywords in incognito. Check Google Trends. Paste it into a deck.
1b,0:13.98,0:21.37,13.98,21.37,Slow scroll to Recent alerts; two or three HIGH cards in frame.,That is a snapshot. It never says what changed. AdWatch is the monitor and the analyst. These alerts are this week's output.
2a,0:22.37,0:26.16,22.37,26.16,/onboarding. Type company name + website.,Setup starts with a company name and a website. Nothing else.
4a,0:28.16,0:35.39,28.16,35.39,Changes tab. Hold at the top of the list.,"Here is the hard part. Every run is diffed against the last. The diff engine emits typed events, each with a severity."
4b,0:35.39,0:47.87,35.39,47.87,"Scroll slowly. Pause on a HIGH row, then on a new advertiser row.","A creative launched or dropped. A new advertiser on one of our keywords. A position shift. A demand spike. A breakout query. Seventy-five so far. Facts about what changed, not screenshots."
5a,0:48.87,1:02.02,48.87,62.02,"Insights tab. Cursor on the top card: severity, run number, confidence, then Why it matters.","Claude reads only the structured diff. It cannot invent numbers. Per cluster it writes what happened, why it matters, and two or three actions, each with effort and urgency. Now, this week, or monitor."
5b,1:03.02,1:04.80,63.02,64.80,"Cursor on the first action box, then click evidence and leave it open.","Here is one. [Read the first action box aloud, word for word.]"
6a,1:09.80,1:21.15,69.80,81.15,"Click Collect now. Keep the header (last run, searches used) in frame.","The live run. Collect now hits SerpApi in real time. One Transparency Center call per competitor. One Search and two Trends calls per keyword. Then the diff, then the analyst."
6b,1:21.15,1:36.96,81.15,96.96,Run in progress. Don't move the mouse.,"SerpApi is the sensor. Three engines feed the product. Without structured, real-time access to that public data there is no diff. Without the diff there is nothing for the AI to analyze. The AI experience is only as good as the freshness of the signal."
6c,1:36.96,1:39.92,96.96,99.92,Run finishes. Cursor to the header's run number and searches-used.,"Done. New run, and the searches it spent."
7,1:40.92,1:53.56,100.92,113.56,"/usage. Cursor on searches-used-vs-budget, then between the two projected figures. Point, don't read numbers.","Every SerpApi call is one search. Every run records what it spent. The month, projected two ways. Everything every six hours, versus the plan cadence. About seven-fold, same alerts."
8a,1:54.56,2:04.09,114.56,124.09,/settings/integrations. Destinations with per-destination minimum severity in frame.,"The Xano story. We replaced the weekly manual check across an expensive incumbent suite and a spreadsheet. Retrospective, per seat, blind to change."
8b,2:04.09,2:12.90,124.09,132.90,Hold.,"Claude did the planning, the diff engine, the analyst, the onboarding site analysis, and the XanoScript. Three people, about twenty-two hours."
8c,2:12.90,2:28.31,132.90,148.31,Cursor down the destination rows.,"The whole control plane is Xano. Auth, workspaces, alert preferences, fan-out with a delivery log, password reset, schedulers. Twenty-six XanoScript files, pushed from the repo. Without that, a bespoke service and a token story."
8d,2:29.31,2:32.86,149.31,152.86,Back to / Dashboard. Stop moving. End on the stat cards.,AdWatch. Know what your competitors did before your standup.
