row,start,end,start_s,end_s,on_screen,narration
1b,0:01.50,0:08.89,1.50,8.89,Slow scroll to Recent alerts; two or three HIGH cards in frame.,That is a snapshot. It never says what changed. AdWatch is the monitor and the analyst. These alerts are this week's output.
2a,0:09.89,0:13.68,9.89,13.68,/onboarding. Type company name + website.,Setup starts with a company name and a website. Nothing else.
2b,0:16.68,0:28.23,16.68,28.23,"Submit. Review screen with proposed category, keywords, competitors, brand assets. Cursor down the proposal. Do not confirm.","Claude reads the site. It proposes the category, the keywords, the likely competitors, and your own brand assets. You review and confirm. A watchlist takes a minute, not an afternoon."
4a,0:29.23,0:36.45,29.23,36.45,Changes tab. Hold at the top of the list.,"Here is the hard part. Every run is diffed against the last. The diff engine emits typed events, each with a severity."
4b,0:36.45,0:48.93,36.45,48.93,"Scroll slowly. Pause on a HIGH row, then on a new advertiser row.","A creative launched or dropped. A new advertiser on one of our keywords. A position shift. A demand spike. A breakout query. Seventy-five so far. Facts about what changed, not screenshots."
5a,0:49.93,1:03.08,49.93,63.08,"Insights tab. Cursor on the top card: severity, run number, confidence, then Why it matters.","Claude reads only the structured diff. It cannot invent numbers. Per cluster it writes what happened, why it matters, and two or three actions, each with effort and urgency. Now, this week, or monitor."
6a,1:04.08,1:15.44,64.08,75.44,"Click Collect now. Keep the header (last run, searches used) in frame.","The live run. Collect now hits SerpApi in real time. One Transparency Center call per competitor. One Search and two Trends calls per keyword. Then the diff, then the analyst."
6b,1:15.44,1:31.25,75.44,91.25,Run in progress. Don't move the mouse.,"SerpApi is the sensor. Three engines feed the product. Without structured, real-time access to that public data there is no diff. Without the diff there is nothing for the AI to analyze. The AI experience is only as good as the freshness of the signal."
8a,1:32.25,1:41.78,92.25,101.78,/settings/integrations. Destinations with per-destination minimum severity in frame.,"The Xano story. We replaced the weekly manual check across an expensive incumbent suite and a spreadsheet. Retrospective, per seat, blind to change."
8b,1:41.78,1:50.59,101.78,110.59,Hold.,"Claude did the planning, the diff engine, the analyst, the onboarding site analysis, and the XanoScript. Three people, about twenty-two hours."
8c,1:50.59,2:06.00,110.59,126.00,Cursor down the destination rows.,"The whole control plane is Xano. Auth, workspaces, alert preferences, fan-out with a delivery log, password reset, schedulers. Twenty-six XanoScript files, pushed from the repo. Without that, a bespoke service and a token story."
