row,start,end,start_s,end_s,on_screen,narration
1a,0:01.50,0:13.98,1.50,13.98,/ Dashboard already loaded. Cursor still on the four stat cards.,This is AdWatch. Every paid-search team does the same weekly ritual. Open competitors' Google Ads Transparency pages. Search your keywords in incognito. Check Google Trends. Paste it into a deck.
1b,0:13.98,0:21.37,13.98,21.37,Slow scroll to Recent alerts; two or three HIGH cards in frame.,That is a snapshot. It never says what changed. AdWatch is the monitor and the analyst. These alerts are this week's output.
2a,0:22.37,0:26.16,22.37,26.16,/onboarding. Type company name + website.,Setup starts with a company name and a website. Nothing else.
2b,0:29.16,0:40.71,29.16,40.71,"Submit. Review screen with proposed category, keywords, competitors, brand assets. Cursor down the proposal. Do not confirm.","Claude reads the site. It proposes the category, the keywords, the likely competitors, and your own brand assets. You review and confirm. A watchlist takes a minute, not an afternoon."
3a,0:42.71,0:52.07,42.71,52.07,/watchlists/[id] Specialty Coffee — Bay Area → Competitors tab. Hover a creative so first/last-shown dates are in frame.,"My real watchlist, specialty coffee. Competitors tab. Every creative each tracked competitor runs right now, with first and last shown dates."
3b,0:53.07,1:04.32,53.07,64.32,"Keywords tab. Cursor over the paid-block table, then the trend line.","Keywords tab. The paid block per keyword. Who is bidding, what position, top or bottom. Google Trends interest and rising queries. All public data, through SerpApi."
4a,1:05.32,1:12.55,65.32,72.55,Changes tab. Hold at the top of the list.,"Here is the hard part. Every run is diffed against the last. The diff engine emits typed events, each with a severity."
4b,1:12.55,1:25.03,72.55,85.03,"Scroll slowly. Pause on a HIGH row, then on a new advertiser row.","A creative launched or dropped. A new advertiser on one of our keywords. A position shift. A demand spike. A breakout query. Seventy-five so far. Facts about what changed, not screenshots."
5a,1:26.03,1:39.18,86.03,99.18,"Insights tab. Cursor on the top card: severity, run number, confidence, then Why it matters.","Claude reads only the structured diff. It cannot invent numbers. Per cluster it writes what happened, why it matters, and two or three actions, each with effort and urgency. Now, this week, or monitor."
5b,1:40.18,1:41.96,100.18,101.96,"Cursor on the first action box, then click evidence and leave it open.","Here is one. [Read the first action box aloud, word for word.]"
6a,1:50.96,2:02.31,110.96,122.31,"Click Collect now. Keep the header (last run, searches used) in frame.","The live run. Collect now hits SerpApi in real time. One Transparency Center call per competitor. One Search and two Trends calls per keyword. Then the diff, then the analyst."
6b,2:02.31,2:18.12,122.31,138.12,Run in progress. Don't move the mouse.,"SerpApi is the sensor. Three engines feed the product. Without structured, real-time access to that public data there is no diff. Without the diff there is nothing for the AI to analyze. The AI experience is only as good as the freshness of the signal."
6c,2:18.12,2:21.08,138.12,141.08,Run finishes. Cursor to the header's run number and searches-used.,"Done. New run, and the searches it spent."
7,2:22.08,2:34.63,142.08,154.63,"/usage. Cursor on searches-used-vs-budget, then between the two projected figures. Point, don't read numbers.","Every SerpApi call is one search. Every run records what it spent. The month, projected two ways. Everything every six hours, versus the plan cadence. About five-fold, same alerts."
8a,2:35.63,2:45.16,155.63,165.16,/settings/integrations. Destinations with per-destination minimum severity in frame.,"The Xano story. We replaced the weekly manual check across an expensive incumbent suite and a spreadsheet. Retrospective, per seat, blind to change."
8b,2:45.16,2:53.96,165.16,173.96,Hold.,"Claude did the planning, the diff engine, the analyst, the onboarding site analysis, and the XanoScript. Three people, about twenty-two hours."
8c,2:53.96,3:09.37,173.96,189.37,Cursor down the destination rows.,"The whole control plane is Xano. Auth, workspaces, alert preferences, fan-out with a delivery log, password reset, schedulers. Twenty-six XanoScript files, pushed from the repo. Without that, a bespoke service and a token story."
8d,3:10.37,3:18.68,190.37,198.68,Back to / Dashboard. Stop moving. End on the stat cards.,"FastAPI and Postgres underneath, Next.js on top, on Fly. AdWatch. Know what your competitors did before your standup."
